ID Sensor,Ubicacionn,Fecha y Hora,Temperatura (C),Humedad (%),Nivel de Bateria (%)
S7513,Sótano,2024-10-25 23:03:35,23.31,42.52,37.98
S3789,Exteriores,2024-10-26 09:22:35,28.68,34.78,14.98
S9486,Sótano,2024-10-26 02:56:35,16.13,32.34,61.91
S4636,Edificio A,2024-10-25 19:16:35,29.75,76.61,33.48
S5996,Exteriores,2024-10-26 13:56:35,19.61,36.65,41.05
S2711,Sótano,2024-10-25 19:26:35,25.73,45.08,46.77
S1279,Edificio A,2024-10-26 16:16:35,21.42,62.92,42.02
S9550,Sótano,2024-10-25 21:44:35,21.15,50.66,45.85
S6314,Sótano,2024-10-26 01:39:35,25.72,35.85,54.99
S7813,Sótano,2024-10-26 14:12:35,15.48,39.95,15.48
S7888,Edificio B,2024-10-26 12:22:35,16.37,45.24,24.37
S6731,Sótano,2024-10-26 02:23:35,22.3,30.81,85.94
S7411,Sótano,2024-10-26 05:31:35,25.1,57.21,97.43
S7939,Edificio B,2024-10-25 18:06:35,29.53,66.23,64.89
S1906,Edificio B,2024-10-26 03:43:35,26.81,42.96,29.77
S6225,Sótano,2024-10-26 16:20:35,27.14,68.63,29.55
S9321,Exteriores,2024-10-26 15:45:35,18.19,72.13,95.14
S9817,Exteriores,2024-10-26 16:00:35,28.3,30.01,52.52
S8466,Edificio A,2024-10-25 22:39:35,18.31,44.88,21.44
S3610,Exteriores,2024-10-26 15:16:35,20.74,51.93,63.66
S4966,Exteriores,2024-10-26 07:37:35,22.26,75.5,17.67
S3917,Edificio B,2024-10-26 10:00:35,20.48,66.27,17.26
S8073,Sótano,2024-10-26 09:14:35,21.01,56.62,66.22
S4026,Exteriores,2024-10-26 11:11:35,25.62,74.82,28.97
S4166,Sótano,2024-10-25 18:43:35,19.21,49.67,45.0
S6642,Exteriores,2024-10-26 00:16:35,16.87,33.21,84.32
S5018,Exteriores,2024-10-26 07:28:35,23.95,76.37,41.01
S1406,Sótano,2024-10-26 16:32:35,28.88,53.63,94.17
S5805,Exteriores,2024-10-26 05:26:35,19.07,54.05,57.32
S2836,Edificio B,2024-10-26 01:16:35,17.38,41.23,30.07
S8793,Sótano,2024-10-26 00:09:35,28.28,68.38,59.69
S2855,Exteriores,2024-10-26 16:22:35,20.95,47.38,92.54
S5124,Exteriores,2024-10-25 17:48:35,20.48,77.51,45.23
S7767,Exteriores,2024-10-26 13:45:35,23.97,40.92,57.14
S4556,Sótano,2024-10-25 17:44:35,27.51,74.5,96.8
S8650,Exteriores,2024-10-25 22:14:35,22.06,30.64,23.11
S4654,Sótano,2024-10-25 19:25:35,20.18,66.44,60.03
S3749,Edificio B,2024-10-25 20:37:35,18.71,78.73,85.57
S5206,Edificio B,2024-10-26 10:34:35,25.12,69.52,16.96
S5465,Sótano,2024-10-26 09:01:35,26.55,38.47,80.88
S9992,Exteriores,2024-10-26 08:21:35,20.77,42.24,16.82
S3509,Sótano,2024-10-25 22:16:35,29.84,76.34,40.38
S2160,Sótano,2024-10-25 21:54:35,20.77,53.79,53.07
S6733,Sótano,2024-10-26 06:16:35,25.72,41.27,41.23
S8947,Edificio B,2024-10-26 07:56:35,21.08,44.16,92.28
S1656,Sótano,2024-10-26 08:13:35,24.2,67.0,90.46
S6190,Edificio B,2024-10-25 19:27:35,20.98,44.94,56.52
S8244,Edificio B,2024-10-26 00:11:35,24.05,68.23,79.87
S1092,Edificio A,2024-10-26 08:23:35,22.38,45.97,43.32
S3505,Edificio B,2024-10-26 08:05:35,15.11,49.26,35.15
S6866,Edificio A,2024-10-26 06:14:35,16.56,33.62,51.69
S6967,Edificio B,2024-10-26 08:57:35,20.91,54.91,84.31
S7161,Edificio A,2024-10-25 19:09:35,28.33,47.22,19.71
S6508,Exteriores,2024-10-25 21:08:35,23.85,47.01,76.12
S6767,Exteriores,2024-10-25 17:54:35,25.76,56.86,69.2
S9973,Exteriores,2024-10-25 19:46:35,28.22,38.32,56.81
S1616,Sótano,2024-10-25 17:51:35,21.01,66.71,97.91
S1803,Edificio A,2024-10-25 18:09:35,20.96,55.15,24.08
S9539,Sótano,2024-10-25 20:15:35,17.11,35.22,62.92
S7283,Exteriores,2024-10-26 06:59:35,24.81,49.22,16.98
S6600,Edificio A,2024-10-26 08:53:35,27.25,35.33,78.31
S8135,Edificio B,2024-10-26 09:35:35,26.17,58.24,50.97
S1957,Exteriores,2024-10-26 02:57:35,21.11,77.86,53.97
S8457,Edificio B,2024-10-25 19:16:35,25.38,45.34,17.71
S4143,Edificio A,2024-10-25 18:12:35,16.77,44.89,62.66
S4520,Exteriores,2024-10-26 03:31:35,25.19,39.12,55.23
S4920,Edificio B,2024-10-26 10:21:35,24.17,42.47,64.63
S2075,Edificio A,2024-10-26 11:12:35,20.18,62.73,11.18
S4294,Exteriores,2024-10-26 05:58:35,18.35,67.96,95.2
S2394,Sótano,2024-10-26 07:39:35,20.05,35.57,23.5
S9414,Exteriores,2024-10-26 02:01:35,29.8,63.89,54.29
S2051,Exteriores,2024-10-26 11:36:35,28.06,63.08,80.6
S2151,Edificio B,2024-10-26 10:33:35,26.06,60.52,25.27
S6714,Edificio B,2024-10-26 15:34:35,28.57,66.19,63.63
S3939,Sótano,2024-10-26 11:50:35,23.42,70.96,48.86
S1386,Edificio A,2024-10-26 09:59:35,23.92,68.59,70.93
S3509,Edificio B,2024-10-26 04:21:35,20.7,35.68,75.24
S2340,Edificio B,2024-10-26 00:29:35,22.05,67.39,11.54
S3179,Edificio A,2024-10-26 11:13:35,17.27,63.97,30.74
S4264,Sótano,2024-10-26 15:46:35,28.92,60.89,16.01
S1091,Edificio A,2024-10-26 14:59:35,17.72,63.31,66.98
S5030,Edificio B,2024-10-25 16:45:35,20.89,63.7,62.93
S4336,Edificio A,2024-10-25 20:46:35,15.71,69.59,27.5
S6573,Edificio A,2024-10-26 00:30:35,26.77,34.54,66.34
S6584,Exteriores,2024-10-26 13:06:35,26.16,60.57,68.65
